CMDLINE /Users/akash/anaconda3/bin/python3.7 intro_julia.py
MEM 0.015625 1600850714.6120
MEM 11.363281 1600850714.7172
MEM 19.042969 1600850714.8224
MEM 26.398438 1600850714.9248
MEM 33.191406 1600850715.0266
MEM 46.566406 1600850715.1270
MEM 72.664062 1600850715.2322
MEM 84.316406 1600850715.3372
MEM 94.207031 1600850715.4390
MEM 105.742188 1600850715.5424
MEM 116.273438 1600850715.6476
MEM 139.039062 1600850715.7523
MEM 144.578125 1600850715.8575
MEM 144.593750 1600850715.9618
MEM 143.742188 1600850716.0670
MEM 143.777344 1600850716.1722
MEM 143.812500 1600850716.2775
MEM 143.847656 1600850716.3792
MEM 143.886719 1600850716.4810
MEM 143.921875 1600850716.5862
MEM 143.960938 1600850716.6893
MEM 144.000000 1600850716.7945
MEM 144.039062 1600850716.8975
MEM 144.078125 1600850717.0027
MEM 144.121094 1600850717.1080
MEM 144.160156 1600850717.2132
MEM 144.199219 1600850717.3151
MEM 144.230469 1600850717.4169
MEM 144.269531 1600850717.5221
MEM 144.308594 1600850717.6273
MEM 144.347656 1600850717.7325
MEM 144.386719 1600850717.8368
MEM 144.429688 1600850717.9420
MEM 144.468750 1600850718.0468
MEM 144.511719 1600850718.1508
MEM 144.550781 1600850718.2560
MEM 144.589844 1600850718.3613
MEM 144.628906 1600850718.4665
MEM 144.660156 1600850718.5685
MEM 144.699219 1600850718.6737
MEM 144.738281 1600850718.7790
MEM 144.781250 1600850718.8841
MEM 144.820312 1600850718.9885
MEM 144.859375 1600850719.0898
MEM 144.902344 1600850719.1950
MEM 144.941406 1600850719.3002
MEM 144.984375 1600850719.4054
MEM 145.023438 1600850719.5078
MEM 145.062500 1600850719.6114
MEM 145.105469 1600850719.7166
MEM 145.144531 1600850719.8218
FUNC __main__.calculate_z_serial_purepython 136.9375 1600850715.7503 146.8086 1600850724.4095 0
FUNC .create_output_list 136.9375 1600850715.7504 144.5703 1600850715.7572 1
MEM 145.187500 1600850719.9271
MEM 145.226562 1600850720.0323
MEM 145.269531 1600850720.1375
MEM 145.308594 1600850720.2391
MEM 145.347656 1600850720.3405
MEM 145.390625 1600850720.4458
MEM 145.429688 1600850720.5481
MEM 145.468750 1600850720.6533
MEM 145.507812 1600850720.7550
MEM 145.550781 1600850720.8602
MEM 145.589844 1600850720.9655
MEM 145.632812 1600850721.0707
MEM 145.671875 1600850721.1734
MEM 145.714844 1600850721.2786
MEM 145.753906 1600850721.3814
MEM 145.792969 1600850721.4866
MEM 145.832031 1600850721.5905
MEM 145.871094 1600850721.6907
MEM 145.906250 1600850721.7939
MEM 145.941406 1600850721.8945
MEM 145.980469 1600850721.9983
MEM 146.023438 1600850722.1036
MEM 146.062500 1600850722.2087
MEM 146.101562 1600850722.3119
MEM 146.140625 1600850722.4153
MEM 146.179688 1600850722.5167
MEM 146.218750 1600850722.6175
MEM 146.257812 1600850722.7227
MEM 146.292969 1600850722.8253
MEM 146.335938 1600850722.9305
MEM 146.375000 1600850723.0357
MEM 146.414062 1600850723.1392
MEM 146.453125 1600850723.2405
MEM 146.492188 1600850723.3440
MEM 146.531250 1600850723.4492
MEM 146.566406 1600850723.5501
MEM 146.605469 1600850723.6553
MEM 146.640625 1600850723.7566
MEM 146.679688 1600850723.8597
MEM 146.714844 1600850723.9619
MEM 146.750000 1600850724.0653
MEM 146.781250 1600850724.1706
MEM 146.800781 1600850724.2710
MEM 146.800781 1600850724.3749
MEM 47.523438 1600850724.4778
